sequence_id,category,method,base_seed,seed,exact_match_accuracy,pairwise_order_accuracy,normalized_kendall_agreement,kendall_tau,inversion_count
sequence_7,Coffee,greedy_nn,70,76,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,70,76,0.0,0.39285714285714285,0.3928571428571429,-0.2142857142857142,17.0
sequence_1,DIY,greedy_nn,80,80,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
sequence_1,DIY,continuity,80,80,0.0,0.8571428571428571,0.8571428571428572,0.7142857142857143,4.0
sequence_2,Plant Growth,greedy_nn,80,81,1.0,1.0,1.0,1.0,0.0
sequence_2,Plant Growth,continuity,80,81,0.0,0.21428571428571427,0.2142857142857143,-0.5714285714285714,22.0
sequence_3,Construction,greedy_nn,80,82,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,80,82,0.0,0.75,0.75,0.5,7.0
sequence_4,Plant Growth,greedy_nn,80,83,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,80,83,0.0,0.0,0.0,-1.0,28.0
sequence_5,DIY,greedy_nn,80,84,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
sequence_5,DIY,continuity,80,84,0.0,0.2857142857142857,0.2857142857142857,-0.4285714285714286,20.0
sequence_6,DIY,greedy_nn,80,85,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,80,85,0.0,0.75,0.75,0.5,7.0
sequence_7,Coffee,greedy_nn,80,86,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,80,86,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_1,DIY,greedy_nn,90,90,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
sequence_1,DIY,continuity,90,90,0.0,0.8571428571428571,0.8571428571428572,0.7142857142857143,4.0
sequence_2,Plant Growth,greedy_nn,90,91,1.0,1.0,1.0,1.0,0.0
sequence_2,Plant Growth,continuity,90,91,0.0,0.7857142857142857,0.7857142857142857,0.5714285714285714,6.0
sequence_3,Construction,greedy_nn,90,92,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,90,92,0.0,0.25,0.25,-0.5,21.0
sequence_4,Plant Growth,greedy_nn,90,93,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,90,93,0.0,0.0,0.0,-1.0,28.0
sequence_5,DIY,greedy_nn,90,94,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
sequence_5,DIY,continuity,90,94,0.0,0.2857142857142857,0.2857142857142857,-0.4285714285714286,20.0
sequence_6,DIY,greedy_nn,90,95,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,90,95,0.0,0.75,0.75,0.5,7.0
sequence_7,Coffee,greedy_nn,90,96,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,90,96,0.0,0.39285714285714285,0.3928571428571429,-0.2142857142857142,17.0
sequence_1,DIY,greedy_nn,100,100,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
sequence_1,DIY,continuity,100,100,0.0,0.8571428571428571,0.8571428571428572,0.7142857142857143,4.0
sequence_2,Plant Growth,greedy_nn,100,101,1.0,1.0,1.0,1.0,0.0
sequence_2,Plant Growth,continuity,100,101,0.0,0.21428571428571427,0.2142857142857143,-0.5714285714285714,22.0
sequence_3,Construction,greedy_nn,100,102,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,100,102,0.0,0.25,0.25,-0.5,21.0
sequence_4,Plant Growth,greedy_nn,100,103,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,100,103,1.0,1.0,1.0,1.0,0.0
sequence_5,DIY,greedy_nn,100,104,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
sequence_5,DIY,continuity,100,104,0.0,0.7142857142857143,0.7142857142857143,0.4285714285714286,8.0
sequence_6,DIY,greedy_nn,100,105,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,100,105,0.0,0.75,0.75,0.5,7.0
sequence_7,Coffee,greedy_nn,100,106,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,100,106,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_1,DIY,greedy_nn,110,110,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
sequence_1,DIY,continuity,110,110,0.0,0.14285714285714285,0.1428571428571429,-0.7142857142857142,24.0
sequence_2,Plant Growth,greedy_nn,110,111,1.0,1.0,1.0,1.0,0.0
sequence_2,Plant Growth,continuity,110,111,0.0,0.21428571428571427,0.2142857142857143,-0.5714285714285714,22.0
sequence_3,Construction,greedy_nn,110,112,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,110,112,0.0,0.75,0.75,0.5,7.0
sequence_4,Plant Growth,greedy_nn,110,113,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,110,113,1.0,1.0,1.0,1.0,0.0
sequence_5,DIY,greedy_nn,110,114,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
sequence_5,DIY,continuity,110,114,0.0,0.7142857142857143,0.7142857142857143,0.4285714285714286,8.0
sequence_6,DIY,greedy_nn,110,115,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,110,115,0.0,0.25,0.25,-0.5,21.0
sequence_7,Coffee,greedy_nn,110,116,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,110,116,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_1,DIY,greedy_nn,120,120,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
sequence_1,DIY,continuity,120,120,0.0,0.14285714285714285,0.1428571428571429,-0.7142857142857142,24.0
sequence_2,Plant Growth,greedy_nn,120,121,0.0,0.0,0.0,-1.0,28.0
sequence_2,Plant Growth,continuity,120,121,0.0,0.21428571428571427,0.2142857142857143,-0.5714285714285714,22.0
sequence_3,Construction,greedy_nn,120,122,0.0,0.75,0.75,0.5,7.0
sequence_3,Construction,continuity,120,122,0.0,0.75,0.75,0.5,7.0
sequence_4,Plant Growth,greedy_nn,120,123,1.0,1.0,1.0,1.0,0.0
sequence_4,Plant Growth,continuity,120,123,1.0,1.0,1.0,1.0,0.0
sequence_5,DIY,greedy_nn,120,124,0.0,0.35714285714285715,0.3571428571428571,-0.2857142857142858,18.0
sequence_5,DIY,continuity,120,124,0.0,0.7142857142857143,0.7142857142857143,0.4285714285714286,8.0
sequence_6,DIY,greedy_nn,120,125,0.0,0.75,0.75,0.5,7.0
sequence_6,DIY,continuity,120,125,0.0,0.75,0.75,0.5,7.0
sequence_7,Coffee,greedy_nn,120,126,0.0,0.6071428571428571,0.6071428571428572,0.2142857142857143,11.0
sequence_7,Coffee,continuity,120,126,0.0,0.39285714285714285,0.3928571428571429,-0.2142857142857142,17.0
sequence_1,DIY,greedy_nn,130,130,0.0,0.8214285714285714,0.8214285714285714,0.6428571428571428,5.0
